iter	MultiClass
0	0.9701696888
1	0.8680224046
2	0.7827124859
3	0.7177554072
4	0.6617076487
5	0.6127259405
6	0.5689445256
7	0.5323376678
8	0.4987903492
9	0.470100446
10	0.4451239404
11	0.4240676929
12	0.4067580102
13	0.3890569222
14	0.3726435661
15	0.3594675199
16	0.3485896818
17	0.3374182794
18	0.3274503135
19	0.3173197951
20	0.3082777778
21	0.3006859891
22	0.2936784753
23	0.2860003645
24	0.2807281305
25	0.274427628
26	0.270252381
27	0.2654885874
28	0.2613847228
29	0.2578093946
30	0.2539962701
31	0.2502758941
32	0.2470414341
33	0.2442422222
34	0.2415497073
35	0.2393280135
36	0.2367301986
37	0.2339367931
38	0.2318313446
39	0.2300473626
40	0.2280496722
41	0.2263076344
42	0.2245826095
43	0.2225859822
44	0.2215758473
45	0.2200387843
46	0.2182958495
47	0.2167187835
48	0.2152580041
49	0.2141840333
50	0.2127478399
51	0.2115550206
52	0.2101705588
53	0.2091031455
54	0.2083587447
55	0.2072421054
56	0.2058670521
57	0.2047272302
58	0.203445644
59	0.2021994707
60	0.2014752488
61	0.2006161245
62	0.1999777131
63	0.1991720721
64	0.1981601072
65	0.1977008422
66	0.1970218482
67	0.196105799
68	0.1954277601
69	0.1948887834
70	0.1940091633
71	0.1928529903
72	0.1921879869
73	0.1912804614
74	0.1899818897
75	0.1892985169
76	0.1889058531
77	0.1881742005
78	0.1872727965
79	0.1866241785
80	0.1857425556
81	0.1851862994
82	0.1844738055
83	0.1840151382
84	0.1835260993
85	0.1828583811
86	0.1822058355
87	0.1816725864
88	0.1811379157
89	0.1804709958
90	0.1800851249
91	0.1796074973
92	0.178938526
93	0.1783067574
94	0.1779464068
95	0.1769054573
96	0.1762921322
97	0.1756910605
98	0.1749889916
99	0.1743255847
100	0.1737873403
101	0.173289022
102	0.1729605765
103	0.1724797373
104	0.1719820196
105	0.171597384
106	0.1710036263
107	0.1702672079
108	0.1698907094
109	0.1691132179
110	0.1685484197
111	0.168082889
112	0.1673431364
113	0.1671166313
114	0.1668515636
115	0.1661670878
116	0.1659426731
117	0.1655770039
118	0.1651988017
119	0.1646542852
120	0.164327003
121	0.1635405668
122	0.1630942663
123	0.1627979778
124	0.1626505202
125	0.162239873
126	0.1619263902
127	0.16169721
128	0.1608875315
129	0.1604072039
130	0.1600894637
131	0.1595316179
132	0.1589969826
133	0.1587285533
134	0.1584389363
135	0.1579461873
136	0.1574289424
137	0.1570800849
138	0.1567485508
139	0.1561069644
140	0.1556346641
141	0.1553389184
142	0.1547424355
143	0.1545155497
144	0.154007902
145	0.1536888067
146	0.15324044
147	0.1528193091
148	0.1525760177
149	0.1523677624
150	0.1519200822
151	0.1515921214
152	0.1512935568
153	0.1509690285
154	0.1504976273
155	0.1501127856
156	0.1497271508
157	0.1493529153
158	0.1490365891
159	0.1487436558
160	0.1485398664
161	0.1482203936
162	0.1477454925
163	0.1473357732
164	0.1469558005
165	0.146696466
166	0.146392313
