iter	Passed	Remaining
0	82	41136
1	163	40773
2	251	41585
3	342	42513
4	446	44232
5	544	44863
6	658	46387
7	745	45856
8	829	45240
9	913	44760
10	1016	45180
11	1120	45556
12	1207	45224
13	1290	44815
14	1374	44457
15	1458	44116
16	1548	43998
17	1644	44045
18	1751	44348
19	1860	44642
20	1971	44979
21	2056	44688
22	2138	44350
23	2225	44129
24	2311	43923
25	2396	43687
26	2479	43436
27	2586	43593
28	2716	44126
29	2848	44633
30	2974	44993
31	3104	45408
32	3229	45703
33	3345	45857
34	3446	45783
35	3583	46189
36	3731	46698
37	3858	46913
38	3970	46933
39	4074	46855
40	4180	46797
41	4276	46637
42	4379	46548
43	4493	46566
44	4626	46781
45	4741	46800
46	4887	47110
47	4989	46989
48	5087	46821
49	5180	46625
50	5285	46533
51	5401	46539
52	5557	46874
53	5667	46812
54	5767	46664
55	5873	46565
56	5977	46459
57	6082	46351
58	6199	46338
59	6293	46152
60	6396	46034
61	6504	45948
62	6600	45783
63	6707	45691
64	6819	45637
65	6916	45484
66	7018	45357
67	7111	45177
68	7224	45125
69	7331	45038
70	7446	44995
71	7557	44927
72	7655	44778
73	7753	44637
74	7875	44628
75	7992	44591
76	8104	44520
77	8226	44507
78	8322	44349
79	8461	44423
80	8594	44458
81	8707	44388
82	8828	44353
83	8935	44252
84	9030	44089
85	9118	43898
86	9210	43721
87	9295	43517
88	9384	43336
89	9469	43139
90	9577	43046
91	9685	42954
92	9797	42878
93	9909	42801
94	10021	42721
95	10129	42627
96	10272	42680
97	10429	42781
98	10552	42743
99	10682	42729
100	10807	42696
101	10947	42716
102	11065	42651
103	11190	42609
104	11311	42552
105	11430	42487
106	11548	42415
107	11651	42290
108	11758	42180
109	11864	42064
110	11970	41949
111	12053	41756
112	12173	41691
113	12409	42017
114	12537	41973
115	12682	41984
116	12792	41876
117	12897	41754
118	12995	41608
119	13094	41465
120	13181	41286
121	13266	41103
122	13351	40924
123	13442	40762
124	13535	40607
125	13636	40477
126	13746	40373
127	13851	40256
128	13956	40137
129	14050	39989
130	14128	39797
131	14212	39623
132	14308	39481
133	14424	39399
134	14532	39291
135	14640	39184
136	14740	39058
137	14828	38897
138	14926	38766
139	15017	38615
140	15110	38472
141	15195	38310
142	15297	38190
143	15391	38052
144	15490	37924
145	15578	37772
146	15658	37602
147	15738	37432
148	15817	37260
149	15901	37103
150	15989	36955
151	16070	36793
152	16161	36653
153	16251	36513
154	16354	36401
155	16445	36264
156	16543	36142
157	16637	36013
158	16722	35863
159	16802	35706
160	16900	35585
161	16984	35436
162	17078	35309
163	17168	35175
164	17269	35061
165	17366	34941
166	17456	34807
167	17551	34684
168	17639	34549
169	17725	34409
170	17807	34260
171	17897	34129
172	18003	34028
173	18098	33908
174	18200	33801
175	18297	33683
176	18392	33563
177	18477	33425
178	18564	33292
179	18669	33189
180	18778	33096
181	18884	32996
182	18987	32890
183	19081	32770
184	19173	32647
185	19263	32520
186	19356	32399
187	19454	32285
188	19580	32219
189	19673	32098
190	19773	31988
191	19871	31877
192	19957	31746
193	20047	31620
194	20138	31499
195	20233	31383
196	20339	31283
197	20445	31184
198	20549	31082
199	20659	30988
200	20754	30873
201	20860	30774
202	20954	30657
203	21054	30549
204	21153	30440
205	21253	30333
206	21360	30235
207	21466	30135
208	21558	30016
209	21651	29900
210	21744	29782
211	21833	29660
212	21920	29535
213	22011	29417
214	22106	29303
215	22211	29203
216	22336	29130
217	22447	29037
218	22540	28921
219	22638	28813
220	22738	28705
221	22829	28588
222	22920	28471
223	23019	28363
224	23124	28263
225	23233	28167
226	23336	28065
227	23439	27962
228	23533	27850
229	23628	27737
230	23722	27624
231	23814	27509
232	23911	27400
233	24005	27288
234	24117	27196
235	24229	27103
236	24333	27003
237	24437	26902
238	24520	26777
239	24609	26659
240	24699	26544
241	24781	26419
242	24871	26304
243	24969	26197
244	25072	26095
245	25174	25993
246	25277	25891
247	25368	25777
248	25449	25653
